"grdc_no","wmo_reg","sub_reg","river","station","country","lat","lon","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr","miss"
1293310,1,1931,"RUTUKIRA RIVER","NEW ROAD BRIDGE (55312214)","TZ",-10.301111,35.141667,5772,-999,1976,1982,7,29.36851211,NA,NA,NA,NA,1976,1982,7,"72.797","2.295726192","397.7349605",94.92
1308600,1,1081,"MOULOUYA, OUED","DAR EL CAID","MA",34.24,-3.32,24422,325,NA,NA,NA,NA,1957,1988,32,1.305483029,1957,1988,32,"20.19","0.63671184","26.07124068",75.61
1309500,1,1090,"BOU REGREG, OUED","LALLA CHAFIA","MA",33.7,-6.54,3230,180,NA,NA,NA,NA,1980,1984,5,0,1980,1984,5,"2.161","0.068149296","21.09885325",88.62
1309600,1,1090,"OUM ER RBI', OUED","DECHRA EL OUED","MA",32.68,-5.9,3330,591,NA,NA,NA,NA,1953,1989,37,0.938967136,1953,1989,37,"31.224","0.984680064","295.6997189",76.02
1309700,1,1091,"SBOU, OUED","AZIB SOLTANE","MA",34.28,-5.43,17250,70,NA,NA,NA,NA,1959,1989,31,0,1959,1989,31,"56.658","1.786766688","103.5806776",75.41
1309720,1,1091,"OUERGHA, OUED","M'JARA","MA",34.59,-5.25,6190,85,1976,1990,15,0.163265306,1951,1990,40,1.084598698,1951,1990,40,"66.526","2.097963936","338.927938",72.97
1309750,1,1091,"OUERGHA, OUED","OURTZAGH","MA",34.62,-5.01,4404,140,NA,NA,NA,NA,1951,1989,39,0.222717149,1951,1989,39,"60.121","1.895975856","430.5122289",75.61
1309800,1,1091,"SBOU, OUED","AIN TIMEDRINE","MA",33.75,-4.53,4392,645,NA,NA,NA,NA,1965,1984,20,0,1965,1984,20,"18.295","0.57695112","131.3640984",86.18
1309810,1,1091,"MDAZ, OUED","PONT DU MDEZ","MA",33.67,-4.5,3435,725,1956,1990,35,0.647275707,1956,1990,35,0.498753117,1956,1990,35,"6.257","0.197320752","57.44417817",72.97
1320100,1,1201,"MANO RIVER","MANO KONGO","LR",7.328,-11.143,5514,-999,2015,2021,7,0,NA,NA,NA,NA,2015,2021,7,"205.067","6.466992912","1172.831504",90.24
1321880,1,1211,"LOFA RIVER","LOFA BRIDGE","LR",7.067,-10.88,8194,85,2012,2021,10,0,NA,NA,NA,NA,2012,2021,10,"253.468","7.993366848","975.5146263",81.71
1322840,1,1221,"SAINT PAUL RIVER","PIATTA","LR",7.202586,-9.818731,13734,207,2013,2021,9,2.224469161,NA,NA,NA,NA,2013,2021,9,"366.898","11.57049533","842.4708991",84.35
1322880,1,1221,"SAINT PAUL RIVER","HAINDI","LR",6.90211,-10.36175,18276,130,2012,2021,10,0,NA,NA,NA,NA,2012,2021,10,"489.19","15.42709584","844.1177413",81.3
1323550,1,1231,"SAINT JOHN RIVER","FRANK DIGGS","LR",6.466,-9.526,10862,170,2013,2021,9,0.13418316,NA,NA,NA,NA,2013,2021,9,"260.777","8.223863472","757.1223966",83.74
1323580,1,1231,"SAINT JOHN RIVER","MT. FINLAY","LR",6.084,-9.87,15723,65,2013,2021,9,2.580645161,NA,NA,NA,NA,2013,2021,9,"391.496","12.34621786","785.2329616",84.76
1324580,1,1241,"CESTOS RIVER","ITI","LR",5.617,-9.319,11585,170,2014,2021,8,7.338740827,NA,NA,NA,NA,2014,2021,8,"291.782","9.201637152","794.2716575",88.62
