"grdc_no","wmo_reg","sub_reg","river","station","country","lat","lon","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr","miss"
3265100,3,3651,"SALADO, RIACHO","EL ARENAL","AR",-26.22,-63.75,40000,185,2009,2015,7,0,1929,2015,87,31.29844961,1929,2015,87,"33.172","1.046112192","26.1528048",69.51
3265300,3,3651,"PARANA, RIO","CORRIENTES","AR",-27.97,-58.85,1950000,60,1904,2014,111,0.042056306,1904,2014,111,0,1904,2014,111,"17173.717","541.5903393","277.7386355",13.01
3265601,3,3651,"PARANA, RIO","TIMBUES","AR",-32.67,-60.71,2346000,-999,1905,2014,110,0.234677319,1905,2014,110,0.305810398,1905,2014,110,"15562.431","490.776824","209.1972822",13.41
3265910,3,3651,"CORRIENTES, RIO","PASO LUCERO","AR",-28.97,-58.55,13877,-999,1968,2014,47,15.35813898,1968,2014,47,16.63652803,1968,2014,47,"165.795","5.22851112","376.7753203",27.64
3268130,3,3681,"GRANDE DE TARIJA, RIO","ALGARROBITO (1971: SAN TELMO)","AR",-22.58,-64.23,10460,450,NA,NA,NA,NA,1964,1980,17,0,1964,1980,17,"111.291","3.509672976","335.5327893",95.93
3268150,3,3681,"BERMEJO, RIO","ZANJA DEL TIGRE","AR",-23.1,-64.22,24931.2,2,NA,NA,NA,NA,1940,1980,41,0,1940,1980,41,"310.316","9.786125376","392.5252445",95.93
3268270,3,3681,"SAN FRANCISCO, RIO","CAIMANCITO (PUENTE CARRETERO)","AR",-23.73,-64.47,25800,367,1947,2015,69,8.584529506,1946,2015,70,8.706166868,1946,2015,70,"103.889","3.276243504","126.9861823",21.95
3268500,3,3681,"PILCOMAYO, RIO","LA PAZ","AR",-22.45,-62.37,96000,230,NA,NA,NA,NA,1941,2015,75,24.06779661,1941,2015,75,"210.339","6.633250704","69.0963615",10.57
3268900,3,3681,"BERMEJO, RIO","EL COLORADO","AR",-26.3,-59.38,65736,78,1968,2014,47,8.011427891,1968,2014,47,4.710144928,1968,2014,47,"427.618","13.48536125","205.1442322",17.07
3269300,3,3691,"MIRINAY RIO","PASO LEDESMA","AR",-29.83,-57.68,10056,-999,1968,2015,48,11.90532266,1968,2014,47,12.72401434,1968,2015,48,"139.651","4.404033936","437.9508687",23.17
3269500,3,3691,"URUGUAY RIVER","CONCORDIA","AR",-31.4,-58.02,249312,2,NA,NA,NA,NA,1968,1979,12,0,1968,1979,12,"5220.471","164.6327735","660.3483725",97.56
3274150,3,3741,"SALI, RIO","EL SAUCE (1967: EMBALSE RIO HONDO)","AR",-27.58,-64.5,20200,250,NA,NA,NA,NA,1925,1980,56,1.676829268,1925,1980,56,"88.693","2.797022448","138.4664578",98.17
3275050,3,3751,"JACHAL, RIO","PACHIMOCO","AR",-30.22,-68.83,25500,1160,NA,NA,NA,NA,1921,1990,70,11.5942029,1921,1990,70,"10.113","0.318923568","12.50680659",71.95
3275100,3,3751,"SAN JUAN, RIO","LA PUNTILLA","AR",-31.52,-68.63,25000,715,1955,2014,60,1.150324391,1909,2014,106,1.111111111,1909,2014,106,"57.707","1.819847952","72.79391808",14.63
3275270,3,3751,"DESAGUADERO, RIO","ARCO DEL DESAGUADERO","AR",-33.38,-67.17,102120,450,2009,2015,7,26.42295234,1936,2012,77,75.51912568,1936,2015,80,"0.638","0.020119968","0.197022797",90.04
3275700,3,3752,"COLORADO, RIO","BUTA RANQUIL","AR",-37.1,-69.73,15300,850,1940,2014,75,39.06854973,1940,2014,75,0.336700337,1940,2014,75,"141.446","4.460641056","291.5451671",14.02
3275750,3,3752,"COLORADO, RIO","PICHI MAHUIDA","AR",-38.83,-64.83,223000,122,1918,2014,97,0.002851928,1918,2014,97,0,1918,2014,97,"128.462","4.051177632","18.16671584",13.41
3275800,3,3753,"NEUQUEN, RIO","PASO DE LOS INDIOS","AR",-38.53,-69.42,30200,500,1903,2015,113,0,1903,2015,113,0,1903,2015,113,"306.74","9.67335264","320.3096901",11.59
3275900,3,3753,"LIMAY, RIO","PASO LIMAY","AR",-40.53,-70.43,26400,538,NA,NA,NA,NA,1903,1990,88,0,1903,1990,88,"738.821","23.29945906","882.5552673",72.56
3275990,3,3753,"NEGRO, RIO","PRIMERA ANGOSTURA","AR",-40.43,-63.67,95000,320,1927,2015,89,0.314230602,1927,2015,89,0.568181818,1927,2015,89,"828.35","26.1228456","274.9773221",12.2
3276200,3,3761,"CHUBUT, RIO","LOS ALTARES","AR",-43.85,-68.5,16400,275,1943,2015,73,2.102741549,1943,2015,73,0,1943,2015,73,"49.097","1.548322992","94.40993854",11.59
3276800,3,3764,"SANTA CRUZ, RIO","CHARLES FUHR","AR",-50.27,-71.9,15550,206,1955,2015,61,2.930386132,1955,2015,61,2.361111111,1955,2015,61,"718.382","22.65489475","1456.906415",11.59
3308300,3,3081,"MAZARUNI RIVER","APAIKWA","GY",6.38,-60.38,14000,-999,1978,1995,18,7.575296623,1978,1986,9,11.11111111,1978,1995,18,"774.607","24.42800635","1744.857597",61.99
3308400,3,3081,"CUYUNI RIVER","KAMARIA FALLS","GY",6.43,-58.82,53400,12,1974,1987,14,64.28711128,1973,1981,9,22.22222222,1973,1987,15,"1190.819","37.55366798","703.2522094",90.24
3308600,3,3081,"ESSEQUIBO RIVER","PLANTAIN ISLAND","GY",5.85,-58.58,66600,18,1966,1995,30,40.88710413,1965,1990,26,11.53846154,1965,1995,31,"2137.262","67.40069443","1012.022439",64.02
3410500,3,3101,"COURANTYNE RIVER","MATAWAY","SR",5.8,-57.12,51600,9,NA,NA,NA,NA,1973,1979,7,0,1973,1979,7,"1090.06","34.37613216","666.2041116",97.56
3411300,3,3111,"COPPENAME RIVIER","MAKSITA","SR",4.9,-56.12,12300,13,NA,NA,NA,NA,1973,1979,7,0,1973,1979,7,"327.828","10.33838381","840.5190088",97.56
3412800,3,3121,"MARONI RIVER","LANGA TABBETJE","SR",5,-54.4,63700,10,NA,NA,NA,NA,1976,1979,4,0,1976,1979,4,"1895.34","59.77144224","938.3271937",97.76
3469050,3,3691,"URUGUAY RIVER","SALTO","UY",-31.38,-57.93,244000,6,1991,1994,4,0,1965,1991,27,41.35802469,1965,1994,30,"5580.332","175.98135","721.2350408",87.8
3469100,3,3691,"NEGRO, RIO","PALMAR","UY",-33.12,-57.18,63000,13,NA,NA,NA,NA,1910,1979,70,13.0952381,1910,1979,70,"693.872","21.88194739","347.3324983",97.56
3469150,3,3691,"YI, RIO","PASO DEL BOTE","UY",-33.22,-56.9,12668,-999,1978,1987,10,29.65726921,1978,1987,10,28.57142857,1978,1987,10,"329.423","10.38868373","820.0729182",85.16
3469200,3,3691,"TACUAREMBO, RIO","PASO DE LA LAGUNA","UY",-32.23,-55.4,14038,-999,1978,1988,11,5.226480836,1978,1988,11,3.787878788,1978,1988,11,"235.996","7.442369856","530.1588443",76.63
3469400,3,3691,"NEGRO, RIO","PASO PEREIRA","UY",-32.42,-55.2,11773,-999,1978,1988,11,3.225,1978,1988,11,7.633587786,1978,1988,11,"176.218","5.557210848","472.0301408",76.63
3512400,3,3121,"MARONI RIVER","LANGA TABIKI","GF",4.98,-54.43,60930,-999,1951,1996,46,0,1951,1995,45,0,1951,1996,46,"1683.278","53.08385501","871.2268999",58.54
3514800,3,3141,"OYAPOK FLEUVE","MARIPA","GF",3.82,-51.88,25120,103,1953,1996,44,0,1953,1995,43,0.779727096,1953,1996,44,"831.4","26.2190304","1043.75121",58.54
3613050,3,3131,"ARAGUARI, RIO","PORTO PLATON","BR",0.7075,-51.43889,29820,-999,1952,2017,66,21.1396676,1952,1999,48,28.81944444,1952,2017,66,"1019.799","32.16038126","1078.48361",5.69
3613060,3,3131,"AMAPARI, RIO","SIERRA DO NAVIO","BR",0.90056,-52.01,10570,-999,1972,2020,49,1.550343574,1972,1994,23,0,1972,2020,49,"359.372","11.33315539","1072.200132",1.63
3617110,3,3171,"MAMORE, RIO","GUAJARA-MIRIM","BR",-10.7925,-65.3478,609000,109.29,1967,2020,54,2.692759695,NA,NA,NA,NA,1967,2020,54,"7863","247.967568","407.1717044",1.02
3617805,3,3171,"GUAPORE, RIO","PEDRAS NEGRAS","BR",-12.8514,-62.8992,110000,152,1980,2020,41,0.041365047,1981,1988,8,2.222222222,1980,2020,41,"902.316","28.45543738","258.6857943",4.88
3617810,3,3171,"GUAPORE, RIO","PEDRAS NEGRAS","BR",-12.83,-62.93,116731,-999,1980,2006,27,4.268741457,1981,1988,8,2.222222222,1980,2006,27,"870.001","27.43635154","235.0391202",39.43
3617811,3,3171,"GUAPORE, RIO","PRINCIPE DA BEIRA","BR",-12.4267,-64.4253,341000,-999,1983,2020,38,0,NA,NA,NA,NA,1983,2020,38,"2412.103","76.06808021","223.073549",10.57
3617812,3,3171,"GUAPORE, RIO","PIMENTEIRAS","BR",-13.4858,-61.05,54200,-999,1983,2020,38,3.719976567,NA,NA,NA,NA,1983,2020,38,"489.949","15.45103166","285.0743849",15.65
3617813,3,3171,"GUAPORE, RIO","MATO GROSSO","BR",-15.0092,-59.9581,22500,200,1976,2020,45,0.06222001,NA,NA,NA,NA,1976,2020,45,"125.852","3.968868672","176.3941632",0.2
3618051,3,3181,"NEGRO, RIO","SERRINHA","BR",-0.4817,-64.8272,279945,-999,1977,2020,44,0.309378021,NA,NA,NA,NA,1977,2020,44,"17667.628","557.1663166","1990.270648",0.41
3618052,3,3181,"NEGRO, RIO","CURICURIARI","BR",-0.2006,-66.8022,194462,-999,1977,2020,44,0.292093989,NA,NA,NA,NA,1977,2020,44,"12849.271","405.2146103","2083.772718",0.61
3618053,3,3181,"NEGRO, RIO","SAO FELIPE","BR",0.3717,-67.3128,110862,-999,1977,2020,44,0,NA,NA,NA,NA,1977,2020,44,"8473.48","267.2196653","2410.381062",0
