grdc_no,wmo_reg,sub_reg,river,station,country,lat,lon,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
2851300,2,2511,BRAHMAPUTRA RIVER,PANDU,IN,26.13,91.7,405000,49,,,,,1956,1979,24,38.67595819,1956,1979,24,18422.635,580.9762174,1434.509179
4352100,4,4521,"COLORADO, RIO",LINDERO INTERNACIONAL NORTE,MX,32.72,-114.72,631960,30,1961,1995,35,8.667761871,1976,1979,4,0,1961,1995,35,131.495,4.14682632,6.561849358
3662200,3,3621,"PARANA, RIO",SALTO DEL GUAIRA,BR,-24.0667,-54.25,802200,218,,,,,1920,1979,60,0,1920,1979,60,8570.16,270.2685658,336.9092069
2335950,2,2351,INDUS RIVER,KOTRI,PK,25.37,68.37,832418,13,,,,,1936,1979,44,29.47976879,1936,1979,44,2887.631,91.06433122,109.3973595
1891500,1,1911,ZAMBEZI RIVER,MATUNDO-CAIS (58316087),MZ,-16.15,33.591667,940000,117,1960,1990,31,0.425768234,1976,1979,4,0,1960,1990,31,2486.752,78.42221107,83.42788412
3635050,3,3351,"MADEIRA, RIO",PORTO VELHO-MONTANTE,BR,-8.77,-63.92,950582,-999,,,,,1967,1979,13,2.631578947,1967,1979,13,17140.696,540.5489891,568.6505626
2910330,2,2101,YAYA,USMANKA,RU,56.65,86.17,10200,-999,,,,,1968,1980,13,17.68707483,1968,1980,13,66.311,2.091183696,205.0180094
1348351,1,1481,BOUMBA,BIWALA,CM,3.22,11.92,10340,467,,,,,1965,1980,16,15.34391534,1965,1980,16,105.318,3.321308448,321.2097145
3268130,3,3681,"GRANDE DE TARIJA, RIO",ALGARROBITO (1971: SAN TELMO),AR,-22.58,-64.23,10460,450,,,,,1964,1980,17,0,1964,1980,17,111.291,3.509672976,335.5327893
2416890,2,2161,NORIN,NARYN,KG,41.43,76.02,10500,2039,,,,,1933,1980,48,0.868055556,1933,1980,48,86.621,2.731679856,260.1599863
2311350,2,2111,TERISAQQAN,GAGARINA,KZ,50.9,67.72,11000,-999,,,,,1964,1980,17,78.17258883,1964,1980,17,n.a.,n.a.,n.a.
1338201,1,1381,LOM,BETARE-OYA,CM,5.92,14.13,11100,662,,,,,1951,1980,30,1.680672269,1951,1980,30,177.329,5.592247344,503.806067
1448500,1,1481,LIKOUALA AUX HERBES,EPENA,CG,1.35,17.48,11300,-999,1978,1980,3,0.273722628,1978,1980,3,0,1978,1980,3,83.204,2.623921344,232.2054287
