grdc_no,wmo_reg,sub_reg,river,station,country,lat,lon,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,miss,airEntry1,airEntry2,aqThick,area_pcr,aridityIdx,bankArea,bankDepth,bankWidth,demAverage,forestFraction,groundwaterDepth,KSat1,KSat2,kSatAquifer,percolationImp,poreSize1,poreSize2,recessionCoeff,resWC1,resWC2,satWC1,satWC2,slopeLength,specificYield,storage2,storDepth1,tanSlope
4209600,4,4094,ELLICE RIVER,NEAR THE MOUTH,CA,67.708336,-104.14027,16900.0,-999.0,1971.0,2018.0,48.0,15.97666972,1971.0,1996.0,26.0,0.0,1971,2018,48,82.105,2.58926328,153.210845,22.76,-0.493610019231581,-0.504548506418019,-0.0490227248480684,-0.107118781476935,0.337171487784212,-0.312132713912457,-0.153320846783263,-0.299916986137541,-0.603005689560337,-1.16441584628637,-0.598079740358291,0.928605333713557,1.31341146781001,-0.427635570814026,2.03157099358177,-0.635586680177205,-1.19840898240849,0.588103776657568,-1.22701976251165,-1.11603489735522,-0.0871719004207492,-0.339363333396587,-0.470583003264399,-1.06496974345819,-1.93070600977582,-2.08348209014978,-0.70932381915295
4209805,4,4092,BACK RIVER,ABOVE HERMANN RIVER,CA,66.086113,-96.511108,93900.0,-999.0,1965.0,2018.0,54.0,7.564772093,1993.0,1993.0,1.0,0.0,1965,2018,54,481.12,15.17260032,161.582538,12.8,-0.493610019231581,-0.504548506418019,0.0051036946762733,0.268129952273463,0.587505668655701,0.326083376632378,0.856130855893388,0.404560588815279,-0.542548123359239,-1.16312478194076,-0.606730718302365,0.928605333713557,1.31341146781001,-0.376382872143286,2.03157099358177,-0.635586680177205,-1.19840898240849,0.500508787586967,-1.22701976251165,-1.11603489735522,-0.0871719004207492,-0.339363333396587,-0.434024393790458,-1.02911100665958,-1.93070600977582,-2.08348209014978,-0.720700585219336
4209806,4,4092,BACK RIVER,BELOW BEECHY LAKE,CA,65.1872,-106.0858,19600.0,-999.0,1978.0,2017.0,40.0,6.947296372,,,,,1978,2017,40,105.08,3.31380288,169.0715755,13.01,-0.493610019231581,-0.504548506418019,-0.0590199931115389,-0.0596697349139496,0.282499975716639,-0.0243084007286728,0.512075356586194,0.149676143974735,-0.369158712929005,-1.16149214318588,-0.591577509250968,0.928605333713557,1.31341146781001,-0.427635570814026,2.03157099358177,-0.635586680177205,-1.19840898240849,-0.119974478418773,-1.22701976251165,-1.11603489735522,-0.0871719004207492,-0.339363333396587,-0.41711405882588,-1.06496974345819,-1.93070600977582,-2.08348209014978,-0.705991057349588
4209810,4,4092,BAILLIE RIVER,NEAR THE MOUTH,CA,65.010559,-104.49056,14500.0,-999.0,1978.0,2018.0,41.0,10.21611002,1978.0,1993.0,16.0,1.639344262,1978,2018,41,73.642,2.322374112,160.1637319,12.8,-0.493610019231581,-0.504548506418019,-0.0439025528540278,0.0337629266723944,0.334387913611935,0.0142396248482609,0.518391355665541,0.164109238767122,-0.421583977932154,-1.16179597041807,-0.585849240473899,0.928605333713557,1.31341146781001,-0.427635570814026,2.03157099358177,-0.635586680177205,-1.19840898240849,0.011715622870078,-1.22701976251165,-1.11603489735522,-0.0871719004207492,-0.339363333396587,-0.429726042429042,-1.06496974345819,-1.93070600977582,-2.08348209014978,-0.704991034062077
4209850,4,4095,HAYES RIVER,ABOVE CHANTREY INLET,CA,67.525002,-94.058334,18100.0,-999.0,1971.0,1992.0,22.0,7.966857871,1971.0,1992.0,22.0,9.338521401,1971,1992,22,124.384,3.922573824,216.7167859,69.31,-0.493610019231581,-0.504548506418019,-0.242373102909696,-0.188432648628308,0.839700373196744,-0.453157758918262,-0.680490156221957,-0.771631952280369,-0.727035482996577,-1.16441584628637,-0.57438236619415,0.928605333713557,1.31341146781001,-0.427635570814026,2.03157099358177,-0.635586680177205,-1.19840898240849,0.420316084476944,-1.22701976251165,-1.11603489735522,-0.0871719004207492,-0.339363333396587,-0.465142252198384,-1.06496974345819,-1.93070600977582,-2.08348209014978,-0.467029634174985
4213031,4,4132,NORTH SASKATCHEWAN RIVER,EDMONTON,CA,53.5375,-113.4844,28000.0,-999.0,1911.0,2020.0,110.0,0.0,,,,,1911,2020,110,210.88,6.65031168,237.5111314,0.0,0.303320560486591,0.174425553525964,-0.313551128697697,-0.0443689747416201,-0.0887249756834461,0.184746282927549,0.264670604201522,1.01352359525237,0.641795608207974,0.639221449686818,0.0509102851478041,-0.522093303131894,-0.19419629320531,-0.309162159944656,-0.594030606453234,0.355010565160085,1.880119492077,-0.128769462511108,0.441221292385013,1.03364173989445,-0.0160891860234825,0.500082097364372,-0.20495102800677,0.452840430411709,0.640170730361857,0.536298730130711,0.586639823072681
4213033,4,4132,NORTH SASKATCHEWAN RIVER,NEAR ROCKY MOUNTAIN HOUSE,CA,52.3808,-114.9392,11000.0,-999.0,1913.0,2020.0,108.0,33.19401616,,,,,1913,2020,108,142.291,4.487288976,407.9353615,46.34,0.0793917475948629,0.188013674570595,-0.291328709664037,-0.185030374511267,-0.182150186201309,-0.361421108149464,-0.434521894602624,-0.253893677851263,0.339758677210847,0.645822606000008,-0.631923902802051,-0.045690197474282,-0.19268368492665,-0.165719787469041,-0.960988982878491,1.07256363002616,4.89660851962617,0.122868196229648,0.355868870780838,1.47584610314034,0.0085680264929312,0.484723426986695,-0.313701250060315,1.99678687211821,0.940715341206817,0.950488197270842,-0.527655193964372
4213042,4,4132,BOW RIVER,BELOW BASSANO DAM,CA,50.75,-112.5389,20300.0,-999.0,1910.0,2019.0,110.0,53.21181207,,,,,1910,2019,110,120.59,3.80292624,187.336268,42.89,0.240049022228433,0.65539005766929,-0.343728278728124,-0.092865026770999,-0.293541228639373,0.102338603797578,0.230249549291114,0.880117698247748,0.849715861649587,0.417969586034015,0.142278325626544,-0.600714162877637,-0.531839661105362,-0.235501772401002,-0.544358479544689,0.585451043818492,0.660718901836511,0.0749631961084919,0.600736278367711,0.621630215379763,0.216291737692359,0.355115674985347,-0.273767849300602,0.137480890714892,0.568306037076557,0.480238250634533,0.922239978332177
4213044,4,4132,BOW RIVER,BELOW CARSELAND DAM,CA,50.8239,-113.4419,15700.0,-999.0,1910.0,2020.0,111.0,63.26576075,,,,,1910,2020,111,117.656,3.710399616,236.3311857,42.48,0.115433612702922,0.500226282387974,-0.349801665943514,-0.102081683781856,-0.242249427527086,0.0449467657421198,0.167832885465098,0.77690325184664,0.917750608103232,0.562899153887945,0.216676908224345,-0.592452401776461,-0.539050583609097,-0.216879654718324,-0.502559375389647,0.574604742856699,0.653952802515772,0.123024636293764,0.66559532806435,0.692601868599464,0.283851993158709,0.376079551811794,-0.28659241997189,0.0750558484459472,0.52734857930998,0.43306032162342,1.06792009911549
4213047,4,4132,BOW RIVER,NEAR THE MOUTH,CA,50.0464,-111.5911,25300.0,-999.0,1964.0,2020.0,57.0,0.304465494,,,,,1964,2020,57,91.063,2.871762768,113.5084098,0.0,0.383577598743717,0.863394344122718,-0.305515606186051,-0.0742361338206722,-0.38084642202199,0.235862202081655,0.403960045269822,1.04598692188803,0.724324206307491,0.26561589285007,0.0212568035462145,-0.60609440496651,-0.525042048883589,-0.268637881021132,-0.609193118367332,0.629420400701451,0.630181915028755,0.0127477457321069,0.458408986339635,0.474393921061719,0.104789440598607,0.28279434701457,-0.224554511444026,-0.0063242506885209,0.615073195807971,0.553415018717585,0.670052995632681
4213102,4,4132,OLDMAN RIVER,NEAR LETHBRIDGE,CA,49.7083,-112.875,17000.0,-999.0,1911.0,2020.0,110.0,8.871916865,,,,,1911,2020,110,79.684,2.512914624,147.8185073,0.0,0.984822440795425,1.55440528007878,-0.333566856441655,-0.118170871510154,-0.409884052420174,-0.100086933919051,0.0853190317887683,0.406208812603299,0.686852581802747,0.50799891563877,-0.0667948707984333,-0.653591242409901,-0.544343102284609,-0.446085042233538,-0.902802570364344,0.382047377965136,0.588588701482851,-0.221389611689997,0.349916819065065,0.471562605108804,0.0005601342471076,0.283401409084835,-0.343138306434955,-0.510626182840109,0.913506886366671,0.884819115336906,0.785839528366752
4213103,4,4132,OLDMAN RIVER,NEAR THE MOUTH,CA,49.9189,-111.8,27500.0,-999.0,1964.0,2020.0,57.0,23.56466267,,,,,1964,2020,57,72.455,2.28494088,83.08875927,8.13,1.09104239960869,1.73054031731915,-0.299041689387257,-0.0714040004890356,-0.558149039420169,-0.0931149499717539,-0.0594062727470999,0.297715595421642,0.512097808536308,0.0373551178425089,-0.23565389762079,-0.672991762412718,-0.529928772009538,-0.423497004780242,-0.925008363949839,0.463355165378866,0.574713915533992,-0.225836706683323,0.238576823969565,0.311892114897548,-0.164463265451645,0.227754052643974,-0.311539000843331,-0.228090065769824,0.928077840555009,0.909875631661734,0.275366751681709
4213181,4,4132,BATTLE RIVER,BATTLEFORD,CA,52.7353,-108.3358,29700.0,-999.0,1911.0,1994.0,84.0,57.8458712,,,,,1911,1994,84,16.53,0.52129008,17.55185455,73.98,0.243915371449988,0.344493062727619,-0.244209415354911,0.278600477079054,-0.308641757957369,0.312485080117452,0.345656761349635,0.651693927193246,0.156064861786005,-0.333893415949076,-0.321045157210855,-0.626268052193862,-0.354887036699286,-0.398244671896541,-0.835913706064638,0.809963158559645,1.36787360679339,-0.327385004789611,0.549841657696537,0.985855418422493,-0.0081066352088159,0.581934299838291,0.0375073652641743,-0.304846912414772,0.940463151615096,0.811688690995515,-0.225248606229657
4213183,4,4132,BATTLE RIVER,NEAR THE SASKATCHEWAN BOUNDARY,CA,52.8564,-110.0183,24800.0,-999.0,1978.0,2019.0,42.0,2.485245902,,,,,1978,2019,42,6.897,0.217503792,8.770314194,2.24,0.683247201514117,1.36674390316616,-0.231589733985546,-0.158478231258029,-0.475406215449452,-0.478086121522286,-1.15991279276485,-0.981010163364891,-0.0412954187455039,-1.14939541857373,-0.359541276877256,-0.764602063773025,-0.613625714406617,-0.448439563246687,-0.960988982878491,0.504174832244535,0.433147496834699,-0.438465653875801,-0.342956942666669,-0.306097645191601,-0.96907904613885,-0.463993176421772,0.158987801161977,-0.786628232951243,0.669256596607039,0.950488197270842,-0.567706434977801
4213200,4,4131,QU'APPELLE RIVER,BELOW CRAVEN DAM,CA,50.7056,-104.7972,10400.0,-999.0,1926.0,2020.0,95.0,21.13523411,,,,,1926,2020,95,6.222,0.196216992,18.86701846,0.0,0.642611981347971,1.37165290643373,-0.114912607083612,-0.0833578222171551,-0.522164492478049,-0.298554251001283,-0.546253514417135,-0.476599894224893,-0.177347407001049,-1.16234214835101,-0.520882919997737,-0.793054049878298,-0.64135185636046,-0.448439563246687,-0.949366834803071,0.436215731094554,0.247838907843213,-0.45109836075562,-0.343597932851446,-0.378461362088152,-1.09054052567757,-0.582916635986474,0.265352955467241,-0.786628232951243,0.605574054519805,0.940493396985908,-0.693941117541463
4213201,4,4131,QU'APPELLE RIVER,BELOW LOON CREEK,CA,50.7864,-104.2892,36500.0,-999.0,1955.0,2019.0,65.0,19.37758635,,,,,1955,2019,65,7.473,0.235668528,6.456672,0.0,0.544124720977813,1.46739810616439,-0.12032337922278,-0.0650241782263681,-0.51392434371936,-0.251075436992265,-0.442548001735947,-0.409550595994152,-0.176838605123625,-1.16028742594294,-0.512161307761975,-0.799894643391293,-0.649446296687713,-0.448439563246687,-0.933435244336524,0.481084999411024,0.13733892906308,-0.451274947247504,-0.206902197446754,-0.238539300648468,-0.997309400448495,-0.451588874786045,0.322788979226257,-0.786628232951243,0.647727077758245,0.926775649454189,-0.687611856228104
4213202,4,4131,QU'APPELLE RIVER,NEAR WELBY,CA,50.4911,-101.5578,50900.0,-999.0,1915.0,2020.0,106.0,45.82793134,,,,,1915,2020,106,12.381,0.390447216,7.670868684,0.41,-0.350753372353092,2.43845786052872,-0.157661212882913,-0.166004870060514,-0.282007904910029,-0.478697405694521,-1.27094755494809,-1.00101952553591,-0.151361167995392,-0.809800734617287,-0.160514516354075,-0.95000490474145,-0.759200036912788,-0.448439563246687,-0.940402292180782,1.36004586323327,-0.864495362766098,-0.392181525443332,1.38518006649594,1.15710284497455,0.121590809456143,0.823261708170544,-0.157863560831455,-0.786628232951243,1.15985875605731,0.932753992128486,-0.696201799851593
